type,value
Met Guidelines,1
Met Guidelines,2
Met Guidelines,3
Met Guidelines,4
Met Guidelines,5
Met Guidelines,6
Met Guidelines,7
Met Guidelines,8
Met Guidelines,9
Met Guidelines,10
Met Guidelines,11
Met Guidelines,12
Met Guidelines,13
Met Guidelines,14
Did not meet Guidelines,1
Did not meet Guidelines,2
Did not meet Guidelines,3
Did not meet Guidelines,4
Did not meet Guidelines,5
Did not meet Guidelines,6
Did not meet Guidelines,7
Did not meet Guidelines,8
Did not meet Guidelines,9
Did not meet Guidelines,10
Did not meet Guidelines,11
Did not meet Guidelines,12
Did not meet Guidelines,13
Did not meet Guidelines,14
Did not meet Guidelines,15
Did not meet Guidelines,16
Did not meet Guidelines,17
Did not meet Guidelines,18
Did not meet Guidelines,19
Did not meet Guidelines,20
Did not meet Guidelines,21
Did not meet Guidelines,22
Did not meet Guidelines,23
Did not meet Guidelines,24
Did not meet Guidelines,25
Did not meet Guidelines,26
Did not meet Guidelines,27
Did not meet Guidelines,28
Did not meet Guidelines,29
Did not meet Guidelines,30
Did not meet Guidelines,31
Did not meet Guidelines,32
Did not meet Guidelines,33
Did not meet Guidelines,34
Did not meet Guidelines,35
Did not meet Guidelines,36
Did not meet Guidelines,37
Did not meet Guidelines,38
Did not meet Guidelines,39
Did not meet Guidelines,40
Did not meet Guidelines,41
Did not meet Guidelines,42
Did not meet Guidelines,43
Did not meet Guidelines,44
Did not meet Guidelines,45
Did not meet Guidelines,46
Did not meet Guidelines,47
Did not meet Guidelines,48
Did not meet Guidelines,49
Did not meet Guidelines,50
Did not meet Guidelines,51
Did not meet Guidelines,52
Did not meet Guidelines,53
Did not meet Guidelines,54
Did not meet Guidelines,55
Did not meet Guidelines,56
Did not meet Guidelines,57
Did not meet Guidelines,58
Did not meet Guidelines,59
Did not meet Guidelines,60
Did not meet Guidelines,61
Did not meet Guidelines,62
Did not meet Guidelines,63
Did not meet Guidelines,64
Did not meet Guidelines,65
Did not meet Guidelines,66
Did not meet Guidelines,67
Did not meet Guidelines,68
Did not meet Guidelines,69
Did not meet Guidelines,70
Did not meet Guidelines,71
Did not meet Guidelines,72
Did not meet Guidelines,73
Did not meet Guidelines,74
Did not meet Guidelines,75
Did not meet Guidelines,76
Did not meet Guidelines,77
Did not meet Guidelines,78
Did not meet Guidelines,79
Did not meet Guidelines,80
Did not meet Guidelines,81
Did not meet Guidelines,82
Did not meet Guidelines,83
Did not meet Guidelines,84
Did not meet Guidelines,85
Did not meet Guidelines,86
