type,value
Alcohol consumption in the last week - Exceeded guidelines,1
Alcohol consumption in the last week - Exceeded guidelines,2
Alcohol consumption in the last week - Exceeded guidelines,3
Alcohol consumption in the last week - Exceeded guidelines,4
Alcohol consumption in the last week - Exceeded guidelines,5
Alcohol consumption in the last week - Exceeded guidelines,6
Alcohol consumption in the last week - Exceeded guidelines,7
Alcohol consumption in the last week - Exceeded guidelines,8
Alcohol consumption in the last week - Exceeded guidelines,9
Alcohol consumption in the last week - Exceeded guidelines,10
Alcohol consumption in the last week - Exceeded guidelines,11
Alcohol consumption in the last week - Exceeded guidelines,12
Alcohol consumption in the last week - Exceeded guidelines,13
Alcohol consumption in the last week - Exceeded guidelines,14
Alcohol consumption in the last week - Exceeded guidelines,15
Alcohol consumption in the last week - Exceeded guidelines,16
Alcohol consumption in the last week - Exceeded guidelines,17
Alcohol consumption in the last week - Did not exceed guidelines,1
Alcohol consumption in the last week - Did not exceed guidelines,2
Alcohol consumption in the last week - Did not exceed guidelines,3
Alcohol consumption in the last week - Did not exceed guidelines,4
Alcohol consumption in the last week - Did not exceed guidelines,5
Alcohol consumption in the last week - Did not exceed guidelines,6
Alcohol consumption in the last week - Did not exceed guidelines,7
Alcohol consumption in the last week - Did not exceed guidelines,8
Alcohol consumption in the last week - Did not exceed guidelines,9
Alcohol consumption in the last week - Did not exceed guidelines,10
Alcohol consumption in the last week - Did not exceed guidelines,11
Alcohol consumption in the last week - Did not exceed guidelines,12
Alcohol consumption in the last week - Did not exceed guidelines,13
Alcohol consumption in the last week - Did not exceed guidelines,14
Alcohol consumption in the last week - Did not exceed guidelines,15
Alcohol consumption in the last week - Did not exceed guidelines,16
Alcohol consumption in the last week - Did not exceed guidelines,17
Alcohol consumption in the last week - Did not exceed guidelines,18
Alcohol consumption in the last week - Did not exceed guidelines,19
Alcohol consumption in the last week - Did not exceed guidelines,20
Alcohol consumption in the last week - Did not exceed guidelines,21
Alcohol consumption in the last week - Did not exceed guidelines,22
Alcohol consumption in the last week - Did not exceed guidelines,23
Alcohol consumption in the last week - Did not exceed guidelines,24
Alcohol consumption in the last week - Did not exceed guidelines,25
Alcohol consumption in the last week - Did not exceed guidelines,26
Alcohol consumption in the last week - Did not exceed guidelines,27
Alcohol consumption in the last week - Did not exceed guidelines,28
Alcohol consumption in the last week - Did not exceed guidelines,29
Alcohol consumption in the last week - Did not exceed guidelines,30
Alcohol consumption in the last week - Did not exceed guidelines,31
Alcohol consumption in the last week - Did not exceed guidelines,32
Alcohol consumption in the last week - Did not exceed guidelines,33
Alcohol consumption in the last week - Did not exceed guidelines,34
Alcohol consumption in the last week - Did not exceed guidelines,35
Alcohol consumption in the last week - Did not exceed guidelines,36
Alcohol consumption in the last week - Did not exceed guidelines,37
Alcohol consumption in the last week - Did not exceed guidelines,38
Alcohol consumption in the last week - Did not exceed guidelines,39
Alcohol consumption in the last week - Did not exceed guidelines,40
Alcohol consumption in the last week - Did not exceed guidelines,41
Alcohol consumption in the last week - Did not exceed guidelines,42
Alcohol consumption in the last week - Did not exceed guidelines,43
Alcohol consumption in the last week - Did not exceed guidelines,44
Alcohol consumption in the last week - Did not exceed guidelines,45
Alcohol consumption in the last week - Did not exceed guidelines,46
Did not consume alcohol in the last week but did less than 12 months ago,1
Did not consume alcohol in the last week but did less than 12 months ago,2
Did not consume alcohol in the last week but did less than 12 months ago,3
Did not consume alcohol in the last week but did less than 12 months ago,4
Did not consume alcohol in the last week but did less than 12 months ago,5
Did not consume alcohol in the last week but did less than 12 months ago,6
Did not consume alcohol in the last week but did less than 12 months ago,7
Did not consume alcohol in the last week but did less than 12 months ago,8
Did not consume alcohol in the last week but did less than 12 months ago,9
Did not consume alcohol in the last week but did less than 12 months ago,10
Did not consume alcohol in the last week but did less than 12 months ago,11
Did not consume alcohol in the last week but did less than 12 months ago,12
Did not consume alcohol in the last week but did less than 12 months ago,13
Did not consume alcohol in the last week but did less than 12 months ago,14
Did not consume alcohol in the last week but did less than 12 months ago,15
Did not consume alcohol in the last week but did less than 12 months ago,16
Did not consume alcohol in the last week but did less than 12 months ago,17
Did not consume alcohol in the last week but did less than 12 months ago,18
Did not consume alcohol in the last week but did less than 12 months ago,19
Consumed alcohol 12 or more months ago,1
Consumed alcohol 12 or more months ago,2
Consumed alcohol 12 or more months ago,3
Consumed alcohol 12 or more months ago,4
Consumed alcohol 12 or more months ago,5
Consumed alcohol 12 or more months ago,6
Consumed alcohol 12 or more months ago,7
Consumed alcohol 12 or more months ago,8
Consumed alcohol 12 or more months ago,9
Consumed alcohol 12 or more months ago,10
Consumed alcohol 12 or more months ago,11
Never consumed alcohol,1
Never consumed alcohol,2
Never consumed alcohol,3
Never consumed alcohol,4
Never consumed alcohol,5
Never consumed alcohol,6
Never consumed alcohol,7
Never consumed alcohol,8
