type,value
Underweight/Normal,1
Underweight/Normal,2
Underweight/Normal,3
Underweight/Normal,4
Underweight/Normal,5
Underweight/Normal,6
Underweight/Normal,7
Underweight/Normal,8
Underweight/Normal,9
Underweight/Normal,10
Underweight/Normal,11
Underweight/Normal,12
Underweight/Normal,13
Underweight/Normal,14
Underweight/Normal,15
Underweight/Normal,16
Underweight/Normal,17
Underweight/Normal,18
Underweight/Normal,19
Underweight/Normal,20
Underweight/Normal,21
Underweight/Normal,22
Overweight/Obese,1
Overweight/Obese,2
Overweight/Obese,3
Overweight/Obese,4
Overweight/Obese,5
Overweight/Obese,6
Overweight/Obese,7
Overweight/Obese,8
Overweight/Obese,9
Overweight/Obese,10
Overweight/Obese,11
Overweight/Obese,12
Overweight/Obese,13
Overweight/Obese,14
Overweight/Obese,15
Overweight/Obese,16
Overweight/Obese,17
Overweight/Obese,18
Overweight/Obese,19
Overweight/Obese,20
Overweight/Obese,21
Overweight/Obese,22
Overweight/Obese,23
Overweight/Obese,24
Overweight/Obese,25
Overweight/Obese,26
Overweight/Obese,27
Overweight/Obese,28
Overweight/Obese,29
Overweight/Obese,30
Overweight/Obese,31
Overweight/Obese,32
Overweight/Obese,33
Overweight/Obese,34
Overweight/Obese,35
Overweight/Obese,36
Overweight/Obese,37
Overweight/Obese,38
Overweight/Obese,39
Overweight/Obese,40
Overweight/Obese,41
Overweight/Obese,42
Overweight/Obese,43
Overweight/Obese,44
Overweight/Obese,45
Overweight/Obese,46
Overweight/Obese,47
Overweight/Obese,48
Overweight/Obese,49
Overweight/Obese,50
Overweight/Obese,51
Overweight/Obese,52
Overweight/Obese,53
Overweight/Obese,54
Overweight/Obese,55
Overweight/Obese,56
Overweight/Obese,57
Overweight/Obese,58
Overweight/Obese,59
Overweight/Obese,60
Overweight/Obese,61
Overweight/Obese,62
Overweight/Obese,63
Overweight/Obese,64
Overweight/Obese,65
Overweight/Obese,66
Overweight/Obese,67
Overweight/Obese,68
Overweight/Obese,69
Overweight/Obese,70
Overweight/Obese,71
Overweight/Obese,72
Overweight/Obese,73
Overweight/Obese,74
Overweight/Obese,75
Overweight/Obese,76
Overweight/Obese,77
Overweight/Obese,78
